,API,Operator,Lease_Name,Well_Number,Spud_Date,TD,Months_Produced,Completion_Date,First_Production_Day,Cum_BOE,Cum_Gas,Cum_Oil,Daily_Gas,Daily_Oil,First_Month_Gas,First_Month_Oil,Drilling_Type,Production_type,Reservoir,Field,Lat,Long,Perforated_Interval_Length
233,4230131821,"ANADARKO E&P ONSHORE, LLC",CROCKETT 1-35 UNIT 2,0,4/1/2012,16300.0,61.0,6/15/2012,6/1/2012,403096.0,500061.0,319753.0,86.0,64.0,3193.0,4192.0,H,OIL,WOLFCAMP,PHANTOM,31.656547999999997,-103.43575030000001,4510.0
234,4230131654,ENERGEN CORPORATION,DOLLY VARDEN 33-69,0,12/4/2011,15516.0,66.0,1/24/2012,2/1/2012,641885.0,924557.0,487792.0,191.0,123.0,13860.0,11102.0,H,OIL,BONE SPRING,TWO GEORGES,31.661429100000003,-103.51072099999999,4447.0
235,4230131781,"ANADARKO E&P ONSHORE, LLC",SEVENGILLS 54-1-31,2H,9/10/2012,13275.0,57.0,11/14/2012,11/1/2012,296316.0,1363638.0,69043.0,435.0,7.0,9541.0,2475.0,H,GAS,BONE SPRING,SANDBAR,31.913654100000002,-103.69798940000001,4088.0
236,4230131780,"ANADARKO E&P ONSHORE, LLC",SEVENGILLS 54-1-31,1H,9/20/2012,13160.0,49.0,11/14/2012,11/1/2012,235667.0,1078565.0,55906.0,645.0,4.0,4309.0,1449.0,H,GAS,BONE SPRING,SANDBAR,31.913449699999997,-103.69972059999999,3973.0
237,4230131838,"ANADARKO E&P ONSHORE, LLC",RAYMORE 1-46 UNIT,1H,10/15/2012,15782.0,50.0,12/13/2012,12/1/2012,260433.0,384169.0,196405.0,159.0,68.0,16586.0,7310.0,H,OIL,WOLFCAMP,PHANTOM,31.6753853,-103.50203259999999,4199.0
238,4230131879,"ANADARKO E&P ONSHORE, LLC",MDJ C27-1,1H,11/3/2012,16306.0,56.0,12/19/2012,12/1/2012,230209.0,436029.0,157537.0,132.0,44.0,10874.0,4181.0,H,OIL,WOLFCAMP,PHANTOM,31.751919399999995,-103.541239,4228.0
239,4230131652,ENERGEN CORPORATION,BUSHMASTER 1-58,0,2/19/2012,15350.0,64.0,4/10/2012,4/1/2012,718034.0,1259866.0,508056.0,541.0,185.0,,1661.0,H,OIL,BONE SPRING,TWO GEORGES,31.688678200000002,-103.53469390000001,3985.0
240,4230131663,"RSP PERMIAN, LLC",HUGHES-TALBOT '27',2,12/9/2011,12620.0,66.0,2/19/2012,2/1/2012,62621.0,44145.0,55263.0,19.0,15.0,,755.0,V,OIL,BONE SPRING,TWO GEORGES,31.862774699999996,-103.429486,1554.0
241,4230131640,ENERGEN CORPORATION,KATIE 1-72,0,12/22/2011,15212.0,65.0,3/3/2012,3/1/2012,368613.0,704535.0,251191.0,302.0,79.0,7629.0,8988.0,H,OIL,BONE SPRING,TWO GEORGES,31.700190600000003,-103.55009670000001,3801.0
242,4230131655,ENERGEN CORPORATION,SALISBURY 33-71,0,1/25/2012,15080.0,64.0,4/5/2012,4/1/2012,261718.0,568995.0,166886.0,188.0,42.0,,6469.0,H,OIL,BONE SPRING,TWO GEORGES,31.658119,-103.54298390000001,3911.0
